finding,risk_level,recommendation
Weak IKE Crypto Profiles,Medium,"Replace default IKE crypto profiles with stronger ciphers like AES-256, SHA-256 or higher, and DH Group 19 or higher.  Remove or disable weaker ciphers like 3DES and SHA1."
Weak IPSec Crypto Profiles,Medium,Replace default IPSec crypto profiles with stronger ciphers like AES-256-GCM and DH Group 19 or higher. Remove or disable weaker ciphers like 3DES and SHA1.
GlobalProtect App Crypto Profile Uses Weak Ciphers,Medium,Update the GlobalProtect app crypto profile 'default' to use AES-256 and SHA-256 or higher. Disable weaker ciphers like AES-128 and SHA1.
Botnet Dynamic DNS Protection Threshold Too Low,Medium,Increase the dynamic DNS threshold from 5 to a higher value to reduce false positives while maintaining effective protection.
Botnet Malware Sites Protection Threshold Too Low,Medium,Increase the malware sites threshold from 5 to a higher value.
Botnet Recent Domains Protection Threshold Too Low,Medium,Increase the recent domains threshold from 5 to a higher value.
Botnet IP Domains Protection Threshold Too Low,Medium,Increase the IP domains threshold from 10 to a higher value.
Botnet Executables from Unknown Sites Threshold Too Low,Medium,Increase the executables from unknown sites threshold from 5 to a higher value.
Unknown TCP and UDP Session Thresholds Too Low,Medium,Increase the destinations-per-hour and sessions-per-hour thresholds for both unknown TCP and UDP from 10 to more appropriate values based on your network traffic.
Unknown TCP and UDP Session Length Limits Too Low,Medium,Adjust the maximum-bytes and minimum-bytes for unknown TCP and UDP session lengths based on your network traffic patterns.
Overly Permissive Security Rule,High,"Review and refine rule1 to specify source, destination, service, and application. Avoid using 'any' for all fields in a security rule."
Management Plane Access over HTTP,Low,"HTTP management access is disabled, but ensure HTTPS is enforced and configured properly."
